# IP 지역 분류 정의 파일
# 형식: IP_클래스,지역명,설명
# A 클래스 (첫 번째 옥텟)
1.,미국 (ARIN),미국 북동부
2.,미국 (ARIN),미국 북동부
3.,미국 (ARIN),미국 북동부
4.,미국 (ARIN),미국 북동부
5.,미국 (ARIN),미국 북동부
6.,미국 (ARIN),미국 북동부
7.,미국 (ARIN),미국 북동부
8.,미국 (ARIN),미국 북동부
9.,미국 (ARIN),미국 북동부
10.,사설 네트워크,사설 IP 대역
11.,미국 (ARIN),미국 북동부
12.,미국 (ARIN),미국 북동부
13.,미국 (ARIN),미국 북동부
14.,미국 (ARIN),미국 북동부
15.,미국 (ARIN),미국 북동부
16.,미국 (ARIN),미국 북동부
17.,미국 (ARIN),미국 북동부
18.,미국 (ARIN),미국 북동부
19.,미국 (ARIN),미국 북동부
20.,미국 (ARIN),미국 북동부
21.,미국 (ARIN),미국 북동부
22.,미국 (ARIN),미국 북동부
23.,미국 (ARIN),미국 북동부
24.,미국 (ARIN),미국 북동부
25.,미국 (ARIN),미국 북동부
26.,미국 (ARIN),미국 북동부
27.,미국 (ARIN),미국 북동부
28.,미국 (ARIN),미국 북동부
29.,미국 (ARIN),미국 북동부
30.,미국 (ARIN),미국 북동부
31.,미국 (ARIN),미국 북동부
32.,미국 (ARIN),미국 북동부
33.,미국 (ARIN),미국 북동부
34.,미국 (ARIN),미국 북동부
35.,미국 (ARIN),미국 북동부
36.,미국 (ARIN),미국 북동부
37.,미국 (ARIN),미국 북동부
38.,미국 (ARIN),미국 북동부
39.,미국 (ARIN),미국 북동부
40.,미국 (ARIN),미국 북동부
41.,미국 (ARIN),미국 북동부
42.,미국 (ARIN),미국 북동부
43.,미국 (ARIN),미국 북동부
44.,미국 (ARIN),미국 북동부
45.,미국 (ARIN),미국 북동부
46.,미국 (ARIN),미국 북동부
47.,미국 (ARIN),미국 북동부
48.,미국 (ARIN),미국 북동부
49.,미국 (ARIN),미국 북동부
50.,미국 (ARIN),미국 북동부
51.,미국 (ARIN),미국 북동부
52.,미국 (ARIN),미국 북동부
53.,미국 (ARIN),미국 북동부
54.,미국 (ARIN),미국 북동부
55.,미국 (ARIN),미국 북동부
56.,미국 (ARIN),미국 북동부
57.,미국 (ARIN),미국 북동부
58.,미국 (ARIN),미국 북동부
59.,미국 (ARIN),미국 북동부
60.,미국 (ARIN),미국 북동부
61.,미국 (ARIN),미국 북동부
62.,미국 (ARIN),미국 북동부
63.,미국 (ARIN),미국 북동부
64.,미국 (ARIN),미국 북동부
65.,미국 (ARIN),미국 북동부
66.,미국 (ARIN),미국 북동부
67.,미국 (ARIN),미국 북동부
68.,미국 (ARIN),미국 북동부
69.,미국 (ARIN),미국 북동부
70.,미국 (ARIN),미국 북동부
71.,미국 (ARIN),미국 북동부
72.,미국 (ARIN),미국 북동부
73.,미국 (ARIN),미국 북동부
74.,미국 (ARIN),미국 북동부
75.,미국 (ARIN),미국 북동부
76.,미국 (ARIN),미국 북동부
77.,미국 (ARIN),미국 북동부
78.,미국 (ARIN),미국 북동부
79.,미국 (ARIN),미국 북동부
80.,미국 (ARIN),미국 북동부
81.,미국 (ARIN),미국 북동부
82.,미국 (ARIN),미국 북동부
83.,미국 (ARIN),미국 북동부
84.,미국 (ARIN),미국 북동부
85.,미국 (ARIN),미국 북동부
86.,미국 (ARIN),미국 북동부
87.,미국 (ARIN),미국 북동부
88.,미국 (ARIN),미국 북동부
89.,미국 (ARIN),미국 북동부
90.,미국 (ARIN),미국 북동부
91.,미국 (ARIN),미국 북동부
92.,미국 (ARIN),미국 북동부
93.,미국 (ARIN),미국 북동부
94.,미국 (ARIN),미국 북동부
95.,미국 (ARIN),미국 북동부
96.,미국 (ARIN),미국 북동부
97.,미국 (ARIN),미국 북동부
98.,미국 (ARIN),미국 북동부
99.,미국 (ARIN),미국 북동부
100.,미국 (ARIN),미국 북동부
101.,미국 (ARIN),미국 북동부
102.,미국 (ARIN),미국 북동부
103.,미국 (ARIN),미국 북동부
104.,미국 (ARIN),미국 북동부
105.,미국 (ARIN),미국 북동부
106.,미국 (ARIN),미국 북동부
107.,미국 (ARIN),미국 북동부
108.,미국 (ARIN),미국 북동부
109.,미국 (ARIN),미국 북동부
110.,미국 (ARIN),미국 북동부
111.,미국 (ARIN),미국 북동부
112.,미국 (ARIN),미국 북동부
113.,미국 (ARIN),미국 북동부
114.,미국 (ARIN),미국 북동부
115.,미국 (ARIN),미국 북동부
116.,미국 (ARIN),미국 북동부
117.,미국 (ARIN),미국 북동부
118.,미국 (ARIN),미국 북동부
119.,미국 (ARIN),미국 북동부
120.,미국 (ARIN),미국 북동부
121.,미국 (ARIN),미국 북동부
122.,미국 (ARIN),미국 북동부
123.,미국 (ARIN),미국 북동부
124.,미국 (ARIN),미국 북동부
125.,미국 (ARIN),미국 북동부
126.,미국 (ARIN),미국 북동부
127.,루프백,로컬호스트
128.,미국 (ARIN),미국 북동부
129.,미국 (ARIN),미국 북동부
130.,미국 (ARIN),미국 북동부
131.,미국 (ARIN),미국 북동부
